condsFile,shapeStim,taskLoop.thisRepN,taskLoop.thisTrialN,taskLoop.thisN,taskLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,trialGrid.started,trialGrid.stopped,trialShape.started,trialShape.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,trialText.started,trialText.stopped,key_resp.rt,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tSwitchCond2.xlsx,,0,1,1,1,,,,,,,,,,,,,,,,,,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square3.png,0,2,2,2,0,0,0,17,30.976742800005013,None,None,None,None,None,None,0,None,None,None,None,,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond3.png,0,2,2,2,0,1,1,6,,,35.775202279999206,None,35.775202279999206,None,b,0,0.012750279987812974,None,35.775202279999206,None,-4.543513500000699,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square3.png,0,2,2,2,0,2,2,15,,,35.842198300000746,None,35.842198300000746,None,b,1,0.013808339994284324,None,35.842198300000746,None,0.4946386999945389,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square2.png,0,2,2,2,0,3,3,12,,,36.387121699997806,None,36.387121699997806,None,m,0,0.01644225999189075,None,36.387121699997806,None,0.10788679998950101,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond2.png,0,2,2,2,0,4,4,3,,,36.55476100000669,None,36.55476100000669,None,b,1,0.01636545998917427,None,36.55476100000669,None,0.10052410000935197,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square3.png,0,2,2,2,0,5,5,19,,,36.703818499998306,None,36.703818499998306,None,m,0,0.016638859975500964,None,36.703818499998306,None,0.079392600004212,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square2.png,0,2,2,2,0,6,6,14,,,36.836304700002074,None,36.836304700002074,None,b,1,0.0003990199911640957,None,36.836304700002074,None,0.1546173000097042,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond2.png,0,2,2,2,0,7,7,0,,,37.05339230000391,None,37.05339230000391,None,m,0,7.241999264806509e-05,None,37.05339230000391,None,0.15348760000779293,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond3.png,0,2,2,2,0,8,8,8,,,37.27053049999813,None,37.27053049999813,None,b,0,0.016553859997657128,None,37.27053049999813,None,0.16078220000781585,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond2.png,0,2,2,2,0,9,9,20,,,37.48613560000376,None,37.48613560000376,None,b,0,0.0004994199989596382,None,37.48613560000376,None,0.37687960000766907,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond3.png,0,2,2,2,0,10,10,7,,,37.920285900007,None,37.920285900007,None,m,1,0.00013231998309493065,None,37.920285900007,None,0.2077354000066407,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square2.png,0,2,2,2,0,11,11,11,,,38.18693979999807,None,38.18693979999807,None,b,1,0.0162126599898329,None,38.18693979999807,None,0.19595600001048297,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square2.png,0,2,2,2,0,12,12,10,,,38.43726580000657,None,38.43726580000657,None,m,0,0.016001859985408373,None,38.43726580000657,None,0.15356619999511167,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square3.png,0,2,2,2,0,13,13,16,,,38.65367100000731,None,38.65367100000731,None,b,1,0.00022462000197265297,None,38.65367100000731,None,0.15354549999756273,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond2.png,0,2,2,2,0,14,14,1,,,38.87044949999836,None,38.87044949999836,None,m,1,0.016006459991331212,None,38.87044949999836,None,0.14452229999005795,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond2.png,0,2,2,2,0,15,15,2,,,39.06953249999788,None,39.06953249999788,None,b,1,0.0007592199981445447,None,39.06953249999788,None,0.1461113999976078,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond3.png,0,2,2,2,0,16,16,9,,,39.2699838999979,None,39.2699838999979,None,m,1,0.016530759996385314,None,39.2699838999979,None,0.14516980000189506,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square3.png,0,2,2,2,0,17,17,18,,,39.470493600005284,None,39.470493600005284,None,b,1,0.01653285998327192,None,39.470493600005284,None,0.14484800001082476,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond2.png,0,2,2,2,0,18,18,4,,,39.67502150000655,None,39.67502150000655,None,m,1,0.011503459987579845,None,39.67502150000655,None,0.10822300000290852,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,diamond3.png,0,2,2,2,0,19,19,5,,,39.836710999996285,None,39.836710999996285,None,b,0,0.016388759991968982,None,39.836710999996285,None,0.17031779998796992,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,square2.png,0,2,2,2,0,20,20,13,,,40.06866410000657,None,40.06866410000657,None,m,0,3.401999128982425e-05,None,40.06866410000657,None,0.12957630000892095,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond3.xlsx,,0,2,2,2,,,,,,,,,,,,,,,,,,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
,,,,,,,,,,,,,,,,,,,,,,,40.20718530000886,None,,,,,,,
